#int double real img int16 real16 img16 error
0 0.0023728990 0.0487124112 0.0000000000 0.0000000009 -0.0000305185 0.0000000000 0.0023758732
1 0.0023740705 0.0487234755 0.0003057158 0.0009747193 0.0312204352 -0.0000610370 0.0003064909
2 0.0023775902 0.0487567006 0.0006118724 0.0009747165 0.0312204352 -0.0000305185 0.0003079333
3 0.0023834737 0.0488121838 0.0009189127 0.0009747193 0.0312204352 -0.0000610370 0.0003104299
4 0.0023917469 0.0488900878 0.0012272838 0.0011354866 -0.0312509537 -0.0126041444 0.0066138949
5 0.0024024467 0.0489906422 0.0015374396 0.0009747165 0.0312204352 -0.0000305185 0.0003182387
6 0.0024156212 0.0491141451 0.0018498426 0.0009747156 0.0312204352 0.0000000000 0.0003236068
7 0.0024313298 0.0492609652 0.0021649666 0.0009748730 0.0312204352 0.0003967406 0.0003285873
8 0.0024496444 0.0494315448 0.0024832991 0.0010150108 0.0063478500 0.0312204352 0.0026820277
9 0.0024706498 0.0496264030 0.0028053438 0.0009806764 0.0312204352 0.0024414808 0.0003389120
10 0.0024944447 0.0498461400 0.0031316235 0.0009840294 0.0312204352 0.0030518509 0.0003469232
11 0.0025211427 0.0500914412 0.0034626835 0.0009861911 0.0312204352 0.0033875546 0.0003561205
12 0.0025508733 0.0503630836 0.0037990942 0.0016910665 0.0267647328 0.0312204352 0.0013088121
13 0.0025837840 0.0506619415 0.0041414550 0.0009911907 0.0312204352 0.0040589618 0.0003779790
14 0.0026200412 0.0509889939 0.0044903986 0.0007033638 0.0261543626 0.0043946654 0.0006167681
15 0.0026598327 0.0513453332 0.0048465945 0.0004921632 0.0086062197 0.0204474013 0.0020700170
16 0.0027033699 0.0517321746 0.0052107544 0.0018013409 -0.0312509537 -0.0287179174 0.0080373544
17 0.0027508900 0.0521508673 0.0055836375 0.0019532442 -0.0312509537 -0.0312509537 0.0083126509
18 0.0028026596 0.0526029068 0.0059660560 0.0010101313 0.0312204352 0.0059511093 0.0004572103
19 0.0028589781 0.0530899497 0.0063588821 0.0010146243 0.0312204352 0.0063173315 0.0004782774
20 0.0029201817 0.0536138297 0.0067630557 0.0019532442 -0.0312509537 -0.0312509537 0.0086470964
21 0.0029866481 0.0541765771 0.0071795924 0.0010261510 0.0312204352 0.0071718497 0.0005269845
22 0.0030588025 0.0547804402 0.0076095936 0.0010324620 0.0312204352 0.0075991089 0.0005550739
23 0.0031371243 0.0554279105 0.0080542576 0.0010391382 0.0312204352 0.0080263680 0.0005860026
24 0.0032221543 0.0561217512 0.0085148917 0.0013670135 -0.0198065126 0.0312204352 0.0062806430
25 0.0033145045 0.0568650312 0.0089929275 0.0010552203 0.0312204352 0.0089724418 0.0006576457
26 0.0034148686 0.0576611632 0.0094899371 0.0010642211 0.0312204352 0.0094607379 0.0006991129
27 0.0035240354 0.0585139493 0.0100076530 0.0010743070 0.0312204352 0.0099795526 0.0007449367
28 0.0036429037 0.0594276334 0.0105479905 0.0009956716 -0.0045777764 0.0312204352 0.0045240425
29 0.0037725016 0.0604069631 0.0111130744 0.0010974425 0.0312204352 0.0110782189 0.0008518546
30 0.0039140084 0.0614572620 0.0117052700 0.0011106262 0.0312204352 0.0116580706 0.0009142679
31 0.0040687820 0.0625845163 0.0123272201 0.0016543022 0.0260322886 -0.0312509537 0.0032351226
32 0.0042383922 0.0637954759 0.0129818885 0.0015442764 -0.0238654744 0.0312204352 0.0080170868
33 0.0044246609 0.0650977771 0.0136726117 0.0013605032 -0.0195928831 -0.0312509537 0.0091906347
34 0.0046297128 0.0665000878 0.0144031618 0.0011813337 0.0312204352 0.0143742180 0.0012446547
35 0.0048560371 0.0680122844 0.0151778211 0.0012038498 0.0312204352 0.0151371807 0.0013536418
36 0.0051065658 0.0696456650 0.0160014735 0.0019513377 -0.0312509537 0.0312204352 0.0104117445
37 0.0053847715 0.0714132112 0.0168797156 0.0012585106 0.0312204352 0.0168462172 0.0016154604
38 0.0056947921 0.0733299090 0.0178189934 0.0012912812 0.0312204352 0.0177922910 0.0017732085
39 0.0060415901 0.0754131468 0.0188267722 0.0013269866 0.0312204352 0.0187688833 0.0019529991
40 0.0064311592 0.0776832123 0.0199117475 0.0013816548 -0.0201727348 0.0312204352 0.0097036728
41 0.0068707937 0.0801639189 0.0210841116 0.0014181453 0.0312204352 0.0210577715 0.0023954653
42 0.0073694441 0.0828834011 0.0223558923 0.0014737710 0.0312204352 0.0223395489 0.0026690623
43 0.0079381925 0.0858751365 0.0237413873 0.0015370163 0.0312204352 0.0237128819 0.0029871372
44 0.0085908954 0.0891792721 0.0252577288 0.0009747165 -0.0000305185 0.0312204352 0.0079939406
45 0.0093450658 0.0928443672 0.0269256245 0.0016992580 0.0312204352 0.0269173254 0.0037975091
46 0.0102231018 0.0969297124 0.0287703442 0.0018223789 0.0312204352 0.0291146580 0.0043178277
47 0.0112540283 0.1015084618 0.0308230517 0.0019513377 -0.0312509537 0.0312204352 0.0176252203
48 0.0124760095 0.1066719302 0.0331226329 0.0013658055 -0.0197759941 0.0312204352 0.0159926959
49 0.0139400532 0.1125355943 0.0357182479 0.0015274036 -0.0312509537 0.0234687338 0.0208246220
50 0.0157155989 0.1192476433 0.0386729677 0.0019494311 0.0312204352 0.0312204352 0.0078043296
51 0.0178991718 0.1270014369 0.0420690726 0.0019494311 0.0312204352 0.0312204352 0.0092916932
52 0.0206281951 0.1360541269 0.0460159723 0.0011185662 -0.0119937742 0.0312204352 0.0221370889
53 0.0241038020 0.1467553192 0.0506623954 0.0019494311 0.0312204352 0.0312204352 0.0137262992
54 0.0286300513 0.1595927160 0.0562158014 0.0019494311 0.0312204352 0.0312204352 0.0171042108
55 0.0346845812 0.1752677583 0.0629745514 0.0019494311 0.0312204352 0.0312204352 0.0217579552
