#int double real img int16 real16 img16 error
0 0.0376079149 0.1939276021 0.0000000000 0.0000000009 -0.0000305185 0.0000000000 0.0376197526
1 0.0376264822 0.1939716497 0.0012170766 0.0000017231 0.0013122959 -0.0000305185 0.0371191831
2 0.0376822659 0.1941039213 0.0024359079 0.0000155000 0.0039368877 -0.0000305185 0.0361695839
3 0.0377755122 0.1943248038 0.0036582572 0.0008062253 0.0049745170 -0.0279549547 0.0368529262
4 0.0379066340 0.1946349452 0.0048859048 0.0000053806 -0.0000305185 -0.0023194067 0.0379465593
5 0.0380762149 0.1950352595 0.0061206573 0.0031517777 -0.0534073916 0.0173039949 0.0618488179
6 0.0382850154 0.1955269333 0.0073643561 0.0006952719 0.0263679922 -0.0000305185 0.0286694315
7 0.0385339800 0.1961114347 0.0086188874 0.0071811933 -0.0571916868 -0.0625324259 0.0692249807
8 0.0388242472 0.1967905243 0.0098861918 0.0039089370 0.0025025178 0.0624713889 0.0405130324
9 0.0391571610 0.1975662690 0.0111682747 0.0131987082 -0.1148106326 0.0041505173 0.0976285776
10 0.0395342848 0.1984410574 0.0124672179 0.0004739920 -0.0147404401 0.0160222175 0.0454589889
11 0.0399574184 0.1994176194 0.0137851913 0.0088993415 -0.0899075289 0.0285653249 0.0839274938
12 0.0404286174 0.2004990473 0.0151244663 0.0000461685 -0.0008239998 -0.0067445906 0.0410092249
13 0.0409502161 0.2016888217 0.0164874294 0.0080784805 0.0290536210 0.0850550859 0.0345044360
14 0.0415248542 0.2029908408 0.0178765987 0.0027273118 -0.0324411756 0.0409253212 0.0559594779
15 0.0421555077 0.2044094531 0.0192946401 0.0019414585 0.0414136174 0.0150456252 0.0265856966
16 0.0428455248 0.2059494967 0.0207443870 0.0054564919 -0.0735190893 0.0071718497 0.0782869043
17 0.0435986679 0.2076163423 0.0222288612 0.0143811726 -0.1138950774 -0.0375377667 0.1069416428
18 0.0444191617 0.2094159441 0.0237512965 0.0092926109 -0.0895413068 -0.0357066561 0.0929106860
19 0.0453117499 0.2113548965 0.0253151656 0.0027434507 -0.0519730216 -0.0065004425 0.0703538254
20 0.0462817603 0.2134405004 0.0269242095 0.0038438746 -0.0439161351 -0.0437635426 0.0712291961
21 0.0473351817 0.2156808382 0.0285824720 0.0075241645 -0.0793786431 -0.0349742119 0.0910995496
22 0.0484787534 0.2180848607 0.0302943379 0.0028651466 0.0533463546 0.0043946654 0.0278095684
23 0.0497200699 0.2206624861 0.0320645769 0.0070360723 -0.0811792352 -0.0211188086 0.0939368972
24 0.0510677048 0.2234247158 0.0338983944 0.0126335406 0.0554826502 0.0977507859 0.0322816653
25 0.0525313564 0.2263837666 0.0358014892 0.0031618925 -0.0356456191 0.0434888760 0.0687184949
26 0.0541220207 0.2295532252 0.0377801202 0.0019748867 0.0410473952 0.0170293283 0.0359650433
27 0.0558521968 0.2329482278 0.0398411842 0.0091829931 -0.0957976012 -0.0024109622 0.1098590640
28 0.0577361330 0.2365856699 0.0419923066 0.0007821203 -0.0156254769 -0.0231940672 0.0678597258
29 0.0597901212 0.2404844514 0.0442419460 0.0008378689 -0.0255134739 -0.0136722922 0.0741089553
30 0.0620328527 0.2446657669 0.0465995192 0.0081276359 -0.0499588000 -0.0750450148 0.1016010281
31 0.0644858494 0.2491534469 0.0490755473 0.0087854161 -0.0884426405 -0.0310373241 0.1203891904
32 0.0671739891 0.2539743641 0.0516818289 0.0005702846 -0.0035096286 0.0236213263 0.0670853983
33 0.0701261493 0.2591589185 0.0544316477 0.0059078859 -0.0256660665 0.0724509415 0.0814499670
34 0.0733760022 0.2647416180 0.0573400200 0.0032837924 -0.0536820582 -0.0200506607 0.1073829550
35 0.0769630011 0.2707617809 0.0604239943 0.0049385257 -0.0694906461 -0.0104678488 0.1207973675
36 0.0809336139 0.2772643864 0.0637030134 0.0055159735 -0.0625324259 0.0400708029 0.1160203550
37 0.0853428775 0.2843011147 0.0671993580 0.0126572573 -0.0805383465 0.0785546434 0.1332367750
